Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Current u.s state of residence,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6435334057893661a12b2ecf,620bdd33a922fc3f247f6bb9,APPROVED,2023-04-11T10:15:32.488000Z,2023-04-11T10:39:25.649000Z,2023-04-12T16:11:08.287000,2023-04-11T10:39:26.043168Z,1434,C12OLERP,333,Kentucky (KY),English,27,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64353f4c26d83c0f46878528,61720637efa93f56c3c3b92b,APPROVED,2023-04-11T11:10:30.559000Z,2023-04-11T12:28:40.289000Z,2023-04-12T16:11:08.461000,2023-04-11T12:28:40.692348Z,4690,C12OLERP,514,Indiana (IN),English,25,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
643543f134ad64f629e2c22e,5c06ede2effb400001f8403c,APPROVED,2023-04-11T11:26:47.314000Z,2023-04-11T12:07:43.375000Z,2023-04-12T16:11:08.620000,2023-04-11T12:07:43.747055Z,2457,C12OLERP,979,Kentucky (KY),"French, Spanish, English",31,Female,White,United States,United States,United States,English,No,Full-Time
6435444e6b6482b6143869d4,5f4f93bcb46af5055714d433,APPROVED,2023-04-11T11:28:21.064000Z,2023-04-11T12:36:19.492000Z,2023-04-12T16:11:08.836000,2023-04-11T12:36:19.872064Z,4079,C12OLERP,1140,Indiana (IN),English,56,Female,White,United States,United States,United States,English,No,Part-Time
64354648a379fb5db5b525ee,63f7e098e99a7db2d59ac6ce,APPROVED,2023-04-11T11:36:44.440000Z,2023-04-11T12:10:11.768000Z,2023-04-12T16:11:09.046000,2023-04-11T12:10:12.217156Z,2008,C12OLERP,395,Wisconsin (WI),English,34,Male,White,United States,United States,United States,English,No,Full-Time
64354d4be2ea5b099e54329d,610c2ed3e8d063ca63e9b4af,APPROVED,2023-04-11T12:06:52.167000Z,2023-04-11T13:22:32.421000Z,2023-04-12T16:11:09.222000,2023-04-11T13:22:32.837569Z,4541,C12OLERP,301,Texas (TX),English,26,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6435571065dc9db0b316b025,612274842d4805447451f87b,APPROVED,2023-04-11T12:48:22.394000Z,2023-04-11T14:15:11.458000Z,2023-04-12T16:11:09.386000,2023-04-11T14:15:11.833343Z,5210,C12OLERP,1010,Texas (TX),English,28,Female,Black,United States,United States,United States,English,Yes,Unemployed (and job seeking)
643560c04c148fe869ed07cd,60b8ec2e8fa12bee7657b943,APPROVED,2023-04-11T13:29:40.976000Z,2023-04-11T14:11:56.612000Z,2023-04-12T16:11:09.535000,2023-04-11T14:11:57.260708Z,2536,C12OLERP,216,Kentucky (KY),English,35,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
6435633c2d468847b3a81de0,615b39c56d4a42f215089b8a,APPROVED,2023-04-11T13:40:57.369000Z,2023-04-11T14:29:33.386000Z,2023-04-12T16:11:09.689000,2023-04-11T14:29:33.794301Z,2917,C12OLERP,1712,Kentucky (KY),English,30,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
6435693068b7f5455e814f66,642e16d9dcaa8e29a3de62a3,APPROVED,2023-04-11T14:05:44.739000Z,2023-04-11T14:48:36.021000Z,2023-04-12T16:11:09.849000,2023-04-11T14:48:36.445790Z,2572,C12OLERP,13,Wisconsin (WI),English,32,Male,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
64356f61fe910f96f297b213,5e9e0798c8df731ba79182f1,APPROVED,2023-04-11T14:32:15.200000Z,2023-04-11T15:14:48.414000Z,2023-04-12T16:11:10.008000,2023-04-11T15:14:48.891654Z,2554,C12OLERP,2267,Texas (TX),English,34,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
643572dcf9fbf12c53c381b3,5d25336d3e31ad0016186262,APPROVED,2023-04-11T14:47:03.490000Z,2023-04-11T15:29:20.770000Z,2023-04-12T16:11:10.165000,2023-04-11T15:29:21.230275Z,2538,C12OLERP,655,Texas (TX),English,62,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
643575320757ec244a676c24,6110d5e5c6ce466532978870,APPROVED,2023-04-11T14:58:18.391000Z,2023-04-11T15:28:58.409000Z,2023-04-12T16:11:10.329000,2023-04-11T15:28:58.778270Z,1841,C12OLERP,862,North Carolina (NC),English,22,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
6435799c986b1b62fb2159a6,5f49b686fc6fe952cf94d25d,APPROVED,2023-04-11T15:16:36.015000Z,2023-04-11T15:45:47.488000Z,2023-04-12T16:11:10.496000,2023-04-11T15:45:47.947599Z,1752,C12OLERP,249,Arkansas (AR),English,34,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64357af4e8f39d1866893ca5,5dc2fc7488381e215d497c7c,APPROVED,2023-04-11T15:21:31.534000Z,2023-04-11T16:00:03.642000Z,2023-04-12T16:11:10.657000,2023-04-11T16:00:04.124337Z,2313,C12OLERP,547,Indiana (IN),English,40,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64357bb2941a61f7deada05f,5dc2354a28e0d5185e05067c,APPROVED,2023-04-11T15:24:38.875000Z,2023-04-11T15:55:06.628000Z,2023-04-12T16:11:10.834000,2023-04-11T15:55:07.141796Z,1828,C12OLERP,694,Washington (WA),English,27,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
64357fa48b943b0b810bcc47,61097e0464a4a922602d495b,APPROVED,2023-04-11T15:41:27.407000Z,2023-04-11T16:10:09.705000Z,2023-04-12T16:11:11.052000,2023-04-11T16:10:10.270687Z,1723,C12OLERP,1299,Texas (TX),English,22,Female,White,United States,United States,United States,English,Yes,Part-Time
6435803d36ae245726794f03,5f42eec40c24ac531d4ca24a,APPROVED,2023-04-11T15:44:04.407000Z,2023-04-11T16:20:23.563000Z,2023-04-12T16:11:11.214000,2023-04-11T16:20:26.265986Z,2180,C12OLERP,2019,Indiana (IN),English,23,Female,White,United States,United States,United States,English,Yes,Other
64358133bd46b29750f1f578,5f8f7988b113dc1f78664792,APPROVED,2023-04-11T15:48:03.203000Z,2023-04-11T16:31:35.176000Z,2023-04-12T16:11:11.360000,2023-04-11T16:31:36.133428Z,2612,C12OLERP,26,North Carolina (NC),English,28,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED
6435823f097a9c36d32f363e,61130f9a777a56345c4032db,APPROVED,2023-04-11T15:52:34.430000Z,2023-04-11T16:46:35.982000Z,2023-04-12T16:11:11.512000,2023-04-11T16:46:36.382794Z,3242,C12OLERP,784,Texas (TX),"English, Spanish",28,Female,Other,United States,United States,United States,Spanish,No,Part-Time
64358b1bd5b95a684be49875,622a24163ab4c46804399b02,APPROVED,2023-04-11T16:30:27.865000Z,2023-04-11T17:12:49.173000Z,2023-04-12T16:11:11.672000,2023-04-11T17:12:49.926014Z,2542,C12OLERP,1363,Indiana (IN),English,54,Female,White,United States,United States,United States,English,No,Full-Time
64358ec1e4e80762f4823111,60ba2ffd080107de026041d3,APPROVED,2023-04-11T16:45:55.691000Z,2023-04-11T17:28:04.969000Z,2023-04-12T16:11:11.823000,2023-04-11T17:28:05.373294Z,2530,C12OLERP,1946,Indiana (IN),English,32,Male,White,United States,United States,United States,English,No,Full-Time
