"userid","flag_nomatch_survey","flag_no_survey","Progress","Duration__in_seconds_","Status_prolific"
"60f47fc03ca663a2425b8085",TRUE,FALSE,39,431,"TIMEDOUT"
"636148217a1f9023ebbd13a0",TRUE,FALSE,64,429,"TIMEDOUT"
"5c131f9bd47b00000149e425",TRUE,FALSE,64,271,"TIMEDOUT"
"5ed70903f3b2f8195f919e6f",TRUE,FALSE,85,4657,"TIMEDOUT"
"60fcd99f47f0a5217fcdd4a6",TRUE,FALSE,64,3127,"TIMEDOUT"
"60fdee22273f69b19ee4b8fb",TRUE,FALSE,26,305,"TIMEDOUT"
"631381096e95278a3f97fed4",TRUE,FALSE,84,1776,"TIMEDOUT"
"5f69ca3d8c30bb0008f456b5",TRUE,FALSE,64,808,"TIMEDOUT"
"6147d9a1448517d2f2f01250",TRUE,FALSE,84,1397,"TIMEDOUT"
"62827ef2d905564e88a46d01",TRUE,FALSE,64,1626,"TIMEDOUT"
"6324f8ef8e2efea43c5d06e6",TRUE,FALSE,85,736,"TIMEDOUT"
"62711f73b2dbf1f1867a703c",TRUE,FALSE,64,1176,"TIMEDOUT"
"60dfdb8bbef17b6739d12215",TRUE,FALSE,26,151,"TIMEDOUT"
"5e795b321feceb5164cd115d",TRUE,FALSE,64,814,"TIMEDOUT"
"5c4b253d3b58fc000127595f",TRUE,FALSE,89,620,"TIMEDOUT"
"5be42f3b98f5f40001a994f4",TRUE,FALSE,64,442,"TIMEDOUT"
"55a55bd7fdf99b790558627c",TRUE,FALSE,87,1438,"TIMEDOUT"
"62eab49b3494af2a6cb7348d",TRUE,FALSE,84,1168,"TIMEDOUT"
"62b755ac8d4ceeb1a463c05a",TRUE,FALSE,85,3811,"TIMEDOUT"
"594c1e5a9160cb00011d6474",TRUE,FALSE,64,817,"TIMEDOUT"
"5cb62e9293342300017a72a1",TRUE,FALSE,84,3265,"TIMEDOUT"
"564d1fedb48dec0005b5191d",TRUE,FALSE,64,609,"TIMEDOUT"
"6269b364ed457e6d3558be82",TRUE,FALSE,89,986,"TIMEDOUT"
"61415e4e227ff90384f081c6",TRUE,FALSE,64,400,"TIMEDOUT"
"63211a687695b2182a38207f",TRUE,FALSE,89,2197,"TIMEDOUT"
"61699743bb6d44b1d978e630",TRUE,FALSE,84,2145,"TIMEDOUT"
"63197f9b80d9c0d22597a837",TRUE,FALSE,64,409,"TIMEDOUT"
"638a063fb638db20ce2856f8",TRUE,FALSE,64,655,"TIMEDOUT"
"5fc6f76b2bc0cf01708d907d",TRUE,FALSE,64,300,"TIMEDOUT"
"5faead22421a230a0a7c2e8d",TRUE,FALSE,14,350738,"TIMEDOUT"
"615c9083ffc1ce3be0325609",TRUE,FALSE,64,4475,"TIMEDOUT"
"63125407181f75ee3ef473a9",TRUE,FALSE,14,106,"TIMEDOUT"
"6005a06aff6a528027303ba9",TRUE,FALSE,56,2335,"TIMEDOUT"
"5c510d1310223b00012fa23e",TRUE,FALSE,39,1329,"TIMEDOUT"
"5ff6332966382e1bf16ed6b6",TRUE,FALSE,64,355,"TIMEDOUT"
"5efb5360f3f69c084c1ca850",TRUE,FALSE,64,4519,"TIMEDOUT"
