"var_name","scale_prefix","item_suffix","var_class","item_type","ori_name"
"ab_07_06","ab","07_06","factor","assets_barriers_raw","AB_7_6"
"ab_07_07","ab","07_07","factor","assets_barriers_raw","AB_7_7"
"ab_07_08","ab","07_08","factor","assets_barriers_raw","AB_7_8"
"ab_07_09","ab","07_09","factor","assets_barriers_raw","AB_7_9"
"ab_07_10","ab","07_10","factor","assets_barriers_raw","AB_7_10"
"ab_07_10_text","ab","07_10_text","character","item","AB_7_10_TEXT"
"ch_01","ch","01","factor","item","CH_1"
"ch_02","ch","02","factor","item","CH_2"
"ch_03_15_01","ch","03_15_01","factor","item","CH_3_15_1"
"ch_03_15_02","ch","03_15_02","factor","item","CH_3_15_2"
"ch_03_15_03","ch","03_15_03","factor","item","CH_3_15_3"
"ch_03_15_04","ch","03_15_04","factor","item","CH_3_15_4"
"ch_03_15_05","ch","03_15_05","factor","item","CH_3_15_5"
"ch_03_15_06","ch","03_15_06","factor","item","CH_3_15_6"
"ch_03_15_07","ch","03_15_07","factor","item","CH_3_15_7"
"ch_03_15_08","ch","03_15_08","factor","item","CH_3_15_8"
"ch_03_15_09","ch","03_15_09","factor","item","CH_3_15_9"
"ch_03_15_10","ch","03_15_10","factor","item","CH_3_15_10"
"ch_03_15_11","ch","03_15_11","factor","item","CH_3_15_11"
"ch_03_15_12","ch","03_15_12","factor","item","CH_3_15_12"
"ch_03_15_13","ch","03_15_13","factor","item","CH_3_15_13"
"prbq_01","prbq","01","integer","item","PRBQ_1"
"prbq_02","prbq","02","integer","item","PRBQ_2"
"prbq_03","prbq","03","integer","item","PRBQ_3"
"prbq_04","prbq","04","integer","item","PRBQ_4"
"prbq_05","prbq","05","integer","item","PRBQ_5"
"prbq_06","prbq","06","integer","item","PRBQ_6"
"prbq_07","prbq","07","integer","item","PRBQ_7"
"prbq_08","prbq","08","integer","item","PRBQ_8"
"prbq_09","prbq","09","integer","item","PRBQ_9"
"prbq_10","prbq","10","integer","item","PRBQ_10"
"prbq_11","prbq","11","integer","item","PRBQ_11"
"prbq_12","prbq","12","integer","item","PRBQ_12"
"prbq_15","prbq","15","integer","item","PRBQ_15"
"sf36_01","sf36","01","integer","item","SF36_1"
"sf36_02","sf36","02","integer","item","SF36_2"
"sf36_03","sf36","03","integer","item","SF36_3"
"sf36_04","sf36","04","integer","item","SF36_4"
"sf36_05","sf36","05","integer","item","SF36_5"
"sf36_06","sf36","06","integer","item","SF36_6"
"sf36_07","sf36","07","integer","item","SF36_7"
"sf36_08","sf36","08","integer","item","SF36_8"
"sf36_09","sf36","09","integer","item","SF36_9"
"sf36_10","sf36","10","integer","item","SF36_10"
"sf36_11","sf36","11","integer","item","SF36_11"
