Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63a3b951fcd46bfaf10d5f17,628eada3a9c9e0776884f27d,APPROVED,2022-12-22T01:56:47.060000Z,2022-12-22T02:16:17.645000Z,2022-12-22T05:48:42.502000,2022-12-22T02:16:18.043046Z,1171,CEIIGKEB,1338,English,30,Male,Mixed,United States,United States,United States,English,No,Full-Time
63a3b99f407db314d5484266,6365b83b80397324720dc562,APPROVED,2022-12-22T01:57:57.609000Z,2022-12-22T02:30:37.808000Z,2022-12-22T05:48:42.601000,2022-12-22T02:30:38.221926Z,1961,CEIIGKEB,399,English,59,Female,White,United States,United States,United States,English,No,Part-Time
63a3b9aa4cbc05ac6cf0a8cd,62e04413fd91f451e42d558d,APPROVED,2022-12-22T01:58:05.620000Z,2022-12-22T03:04:03.735000Z,2022-12-22T05:48:42.707000,2022-12-22T03:04:04.057517Z,3959,CEIIGKEB,204,"Arabic, English",24,Female,Other,United States,United States,United States,English,No,Unemployed (and job seeking)
63a3b9fd446ef5f3a9b598c8,615e01e53a44a0c3c04378c0,APPROVED,2022-12-22T01:59:31.898000Z,2022-12-22T02:49:14.093000Z,2022-12-22T05:48:42.804000,2022-12-22T02:49:14.452794Z,2983,CEIIGKEB,1567,English,83,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63a3ba484391c6a4bb39f62f,63a37fd4d881c60d05a3ddac,APPROVED,2022-12-22T02:00:44.267000Z,2022-12-30T18:38:55.552000Z,2022-12-30T18:38:55.952000Z,,751092,Manual Completion,50,English,37,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63a3bab8028f6979d4f2e994,5ba802ee60f3d5000169e5da,APPROVED,2022-12-22T02:02:36.510000Z,2022-12-22T03:30:41.451000Z,2022-12-22T06:07:06.803000,2022-12-22T03:30:41.766187Z,5285,CEIIGKEB,1908,English,42,Female,White,United States,United States,United States,English,No,Full-Time
63a3bafb872b42513d7bfb78,5f99ba5121189e05a9490a72,APPROVED,2022-12-22T02:07:20.319000Z,2022-12-22T03:22:43.347000Z,2022-12-22T06:07:06.894000,2022-12-22T03:22:43.770845Z,4524,CEIIGKEB,1220,English,44,Female,Black,United States,United States,United States,English,Yes,DATA_EXPIRED
63a3bb33ae9d50e2eede32b6,5fd5a01f252edc42142d10c8,APPROVED,2022-12-22T02:04:39.054000Z,2022-12-22T02:26:05.366000Z,2022-12-22T05:48:42.899000,2022-12-22T02:26:05.697103Z,1287,CEIIGKEB,816,"English, Esperanto",25,Female,White,United States,United States,United States,English,No,Full-Time
63a3bbdc4314eb921f3130e3,610325a6052741bbfb84bcd1,APPROVED,2022-12-22T02:07:25.994000Z,2022-12-22T02:57:33.636000Z,2022-12-22T05:48:42.993000,2022-12-22T02:57:34.044036Z,3008,CEIIGKEB,756,English,28,Female,White,United States,United States,United States,English,Yes,Full-Time
63a3bc3a37ea1688b5e24870,599ec7dc617ca80001fcd124,APPROVED,2022-12-22T02:09:02.285000Z,2022-12-22T02:33:02.012000Z,2022-12-30T19:19:14.687000,2022-12-22T02:33:02.395057Z,1440,CEIIGKEB,3404,English,60,Male,White,United States,United States,United States,English,No,Full-Time
63a3bce05c6dd8c173593f11,5c580c3dd3cc6b0001d9ffbf,APPROVED,2022-12-22T02:11:48.224000Z,2022-12-22T02:42:15.384000Z,2022-12-22T05:48:43.087000,2022-12-22T02:42:15.785113Z,1828,CEIIGKEB,610,English,43,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
63a3bd248b451aac2200e80c,5f42966cafb00848de3c0355,APPROVED,2022-12-22T02:12:58.353000Z,2022-12-22T02:40:37.961000Z,2022-12-22T05:48:43.180000,2022-12-22T02:40:38.416941Z,1660,CEIIGKEB,2388,English,25,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63a3bdeae3fac5da411b603a,600bc0d97d72e11a271775ae,APPROVED,2022-12-22T02:16:16.172000Z,2022-12-22T03:00:31.530000Z,2022-12-22T05:48:43.277000,2022-12-22T03:00:32.463380Z,2656,CEIIGKEB,298,English,45,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
63a3be0fac197dab781e27f0,5aeab6e39e185a0001b9e272,APPROVED,2022-12-22T02:16:47.729000Z,2022-12-22T02:51:17.864000Z,2022-12-24T05:44:13.694000,2022-12-22T02:51:18.271919Z,2071,CEIIGKEB,2819,English,31,Female,White,United States,United States,United States,English,No,Full-Time
